postalCode,bed,bath,car,propType,diffDate,Year,Month,Day,Quarter,medSellPrice,sellPrice
2107,4.0,2,2.0,1,0,2019,6,19,2,1600000.0,1210000
2107,4.0,2,2.0,1,2,2019,4,6,2,1600000.0,2186000
2107,4.0,2,2.0,1,5,2019,1,25,1,1600000.0,1325000
2107,4.0,2,2.0,1,6,2018,12,19,4,1600000.0,2040000
2107,4.0,2,2.0,1,8,2018,10,30,4,1600000.0,1435000
2107,4.0,2,2.0,1,8,2018,10,19,4,1600000.0,1500000
2107,4.0,2,2.0,1,9,2018,9,17,3,1600000.0,1675000
2107,4.0,2,2.0,1,9,2018,9,8,3,1600000.0,1850000
2107,4.0,2,2.0,1,10,2018,8,24,3,1600000.0,1390000
2107,4.0,2,2.0,1,13,2018,5,6,2,1600000.0,1810000
2107,4.0,2,2.0,1,14,2018,4,28,2,1600000.0,1075000
2107,4.0,2,2.0,1,14,2018,4,6,2,1600000.0,1530000
2107,4.0,2,2.0,1,16,2018,3,2,1,1600000.0,1307000
2107,4.0,2,2.0,1,18,2017,12,11,4,1600000.0,1350000
2107,4.0,2,2.0,1,18,2017,12,6,4,1600000.0,2245000
2107,4.0,2,2.0,1,19,2017,11,22,4,1600000.0,1805000
2107,4.0,2,2.0,1,20,2017,11,3,4,1600000.0,1920000
2107,4.0,2,2.0,1,20,2017,10,26,4,1600000.0,1455000
2107,4.0,2,2.0,1,20,2017,10,23,4,1600000.0,1451000
2107,4.0,2,2.0,1,20,2017,10,10,4,1600000.0,1440000
2107,4.0,2,2.0,1,22,2017,8,16,3,1600000.0,2200000
2107,4.0,2,2.0,1,22,2017,8,16,3,1600000.0,1680000
2107,4.0,2,2.0,1,22,2017,8,10,3,1600000.0,1620000
2107,4.0,2,2.0,1,23,2017,8,2,3,1600000.0,1480000
2107,4.0,2,2.0,1,24,2017,6,24,2,1600000.0,1343000
2107,4.0,2,2.0,1,25,2017,5,17,2,1600000.0,1600000
2107,4.0,2,2.0,1,26,2017,4,26,2,1600000.0,1500000
2107,4.0,2,2.0,1,26,2017,4,18,2,1600000.0,2000000
2107,4.0,2,2.0,1,26,2017,4,8,2,1600000.0,1592000
2107,4.0,2,2.0,1,26,2017,4,8,2,1600000.0,1550000
2107,4.0,2,2.0,1,27,2017,3,27,1,1600000.0,1700000
2107,4.0,2,2.0,1,28,2017,3,4,1,1600000.0,1635000
2107,4.0,2,2.0,1,32,2016,10,26,4,1600000.0,1460000
2107,4.0,2,2.0,1,32,2016,10,21,4,1600000.0,1305000
2107,4.0,2,2.0,1,32,2016,10,7,4,1600000.0,1500000
2107,4.0,2,2.0,1,33,2016,9,10,3,1600000.0,1775000
2107,4.0,2,2.0,1,34,2016,8,26,3,1600000.0,2075000
2107,4.0,2,2.0,1,4,2019,2,15,1,1600000.0,1870000
2107,4.0,2,2.0,1,34,2016,8,19,3,1600000.0,1830000
2107,4.0,2,2.0,1,3,2019,3,28,1,1600000.0,1800000
2107,4.0,2,2.0,1,4,2019,3,1,1,1600000.0,1635000
2107,4.0,2,2.0,1,4,2019,2,20,1,1600000.0,2000000
2107,4.0,2,2.0,1,6,2018,12,13,4,1600000.0,1240000
2107,4.0,2,2.0,1,9,2018,9,10,3,1600000.0,1410000
2107,4.0,2,2.0,1,10,2018,8,11,3,1600000.0,1550000
2107,4.0,2,2.0,1,12,2018,7,4,3,1600000.0,1870000
2107,4.0,2,2.0,1,15,2018,4,4,2,1600000.0,1695000
2107,3.0,1,2.0,1,1,2019,5,28,2,1425000.0,1530000
2107,3.0,1,2.0,1,2,2019,4,13,2,1425000.0,1510000
2107,3.0,1,2.0,1,2,2019,4,11,2,1425000.0,1400000
2107,3.0,1,2.0,1,4,2019,2,20,1,1425000.0,1285000
2107,3.0,1,2.0,1,9,2018,9,13,3,1425000.0,1350000
2107,3.0,1,2.0,1,14,2018,4,14,2,1425000.0,1459000
2107,3.0,1,2.0,1,14,2018,4,6,2,1425000.0,1575000
2107,3.0,1,2.0,1,15,2018,3,22,1,1425000.0,1400000
2107,3.0,1,2.0,1,21,2017,9,13,3,1425000.0,1420000
2107,3.0,1,2.0,1,24,2017,6,15,2,1425000.0,1425000
2107,3.0,1,2.0,1,26,2017,4,21,2,1425000.0,2100000
2107,3.0,1,2.0,1,28,2017,3,3,1,1425000.0,1355000
